No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,Iws,PM_avg
43825,2015,1,1,0,4,-999,-999,152,2,80.92,1031,5,14,152
43826,2015,1,1,1,4,-999,-999,130,2,80.92,1030,5,1,130
43827,2015,1,1,2,4,113,118,125,1,75.32,1030,5,2,118.6666667
43828,2015,1,1,3,4,-999,-999,131,1,75.32,1030,5,1,131
43829,2015,1,1,4,4,107,109,133,1,75.32,1030,5,2,116.3333333
43830,2015,1,1,5,4,104,111,133,1,75.32,1029,5,2,116
43831,2015,1,1,6,4,100,111,131,2,80.92,1029,5,1,114
43832,2015,1,1,7,4,105,118,142,2,80.92,1029,5,0,121.6666667
43833,2015,1,1,8,4,105,127,154,2,75.49,1029,6,0,128.6666667
43834,2015,1,1,9,4,109,135,153,3,81.06,1029,6,1,132.3333333
43835,2015,1,1,10,4,117,142,172,3,75.67,1030,7,2,143.6666667
43836,2015,1,1,11,4,131,144,177,3,75.67,1030,7,3,150.6666667
43837,2015,1,1,12,4,145,146,195,3,75.67,1029,7,3,162
43838,2015,1,1,13,4,152,156,208,4,75.84,1028,8,3,172
43839,2015,1,1,14,4,155,172,210,3,70.67,1026,8,4,179
43840,2015,1,1,15,4,155,174,206,4,70.88,1025,9,5,178.3333333
43841,2015,1,1,16,4,141,174,196,4,70.88,1025,9,2,170.3333333
43842,2015,1,1,17,4,134,171,180,3,66.05,1025,9,1,161.6666667
43843,2015,1,1,18,4,160,162,190,2,65.82,1025,8,2,170.6666667
43844,2015,1,1,19,4,180,159,189,2,65.82,1026,8,4,176
43845,2015,1,1,20,4,167,149,175,2,65.82,1027,8,5,163.6666667
43846,2015,1,1,21,4,162,151,195,2,70.47,1027,7,1,169.3333333
43847,2015,1,1,22,4,144,161,201,3,75.67,1028,7,1,168.6666667
43848,2015,1,1,23,4,136,151,184,3,75.67,1028,7,1,157
43849,2015,1,2,0,4,132,153,163,3,75.67,1028,7,2,149.3333333
43850,2015,1,2,1,4,136,158,169,3,75.67,1028,7,3,154.3333333
43851,2015,1,2,2,4,139,161,175,3,75.67,1028,7,4,158.3333333
43852,2015,1,2,3,4,144,158,171,3,75.67,1027,7,5,157.6666667
43853,2015,1,2,4,4,141,153,169,3,81.06,1026,6,6,154.3333333
43854,2015,1,2,5,4,137,152,171,3,81.06,1026,6,6,153.3333333
43855,2015,1,2,6,4,134,149,162,3,81.06,1025,6,6,148.3333333
43856,2015,1,2,7,4,134,149,166,3,81.06,1025,6,6,149.6666667
43857,2015,1,2,8,4,141,150,167,3,81.06,1025,6,6,152.6666667
43858,2015,1,2,9,4,157,153,164,3,75.67,1026,7,6,158
43859,2015,1,2,10,4,170,162,183,3,75.67,1027,7,6,171.6666667
43860,2015,1,2,11,4,155,180,189,3,70.67,1027,8,7,174.6666667
43861,2015,1,2,12,4,151,188,197,3,70.67,1026,8,8,178.6666667
43862,2015,1,2,13,4,161,189,206,3,66.05,1025,9,2,185.3333333
43863,2015,1,2,14,4,172,186,209,3,66.05,1024,9,1,189
43864,2015,1,2,15,4,178,185,202,3,61.76,1023,10,2,188.3333333
43865,2015,1,2,16,4,179,173,208,3,61.76,1023,10,3,186.6666667
43866,2015,1,2,17,4,172,164,201,3,61.76,1023,10,4,179
43867,2015,1,2,18,4,163,154,200,3,66.05,1024,9,2,172.3333333
43868,2015,1,2,19,4,161,149,203,3,75.67,1025,7,1,171
43869,2015,1,2,20,4,173,157,222,3,75.67,1026,7,1,184
43870,2015,1,2,21,4,164,160,216,2,75.49,1026,6,1,180
43871,2015,1,2,22,4,148,152,233,2,80.92,1026,5,2,177.6666667
43872,2015,1,2,23,4,136,137,232,2,80.92,1026,5,2,168.3333333
43873,2015,1,3,0,4,124,123,186,3,93.19,1026,4,2,144.3333333
43874,2015,1,3,1,4,128,123,174,2,86.79,1025,4,2,141.6666667
43875,2015,1,3,2,4,157,119,193,1,86.68,1024,3,2,156.3333333
43876,2015,1,3,3,4,150,119,211,1,93.08,1024,2,2,160
