1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
35065,2014,1,1,0,4,66,46,58,53,-20,12,1014,7,NW,143.48,0,0
35066,2014,1,1,1,4,70,49,68,65,-20,12,1013,7,NW,147.5,0,0
35067,2014,1,1,2,4,71,57,83,70,-20,13,1013,6,NW,151.52,0,0
35068,2014,1,1,3,4,82,86,75,79,-20,13,1013,6,NW,153.31,0,0
35069,2014,1,1,4,4,93,95,83,92,-18,19,1012,3,cv,0.89,0,0
35070,2014,1,1,5,4,92,107,97,106,-18,18,1012,4,NW,4.02,0,0
35071,2014,1,1,6,4,74,94,85,75,-19,14,1012,6,NW,8.94,0,0
35072,2014,1,1,7,4,51,61,65,58,-19,14,1013,6,NW,16.09,0,0
35073,2014,1,1,8,4,46,43,47,33,-18,15,1013,6,NW,21.9,0,0
35074,2014,1,1,9,4,44,66,37,51,-18,14,1014,7,NW,26.82,0,0
35075,2014,1,1,10,4,29,22,30,32,-18,13,1015,8,NW,31.74,0,0
35076,2014,1,1,11,4,34,15,22,23,-18,12,1015,9,NW,39.79,0,0
35077,2014,1,1,12,4,28,18,18,28,-17,13,1015,10,NW,48.73,0,0
35078,2014,1,1,13,4,23,12,22,23,-18,11,1014,11,NW,55.88,0,0
35079,2014,1,1,14,4,19,15,20,24,-17,12,1014,11,NW,63.93,0,0
35080,2014,1,1,15,4,22,17,22,26,-17,12,1014,11,NW,71.08,0,0
35081,2014,1,1,16,4,28,15,23,26,-17,12,1014,11,NW,76.89,0,0
35082,2014,1,1,17,4,36,20,22,27,-16,14,1015,10,NW,81.81,0,0
35083,2014,1,1,18,4,54,23,33,43,-16,15,1015,9,NW,84.94,0,0
35084,2014,1,1,19,4,66,44,60,62,-16,15,1016,9,SE,1.79,0,0
35085,2014,1,1,20,4,94,53,59,70,-14,27,1017,3,SE,2.68,0,0
35086,2014,1,1,21,4,94,53,59,81,-14,33,1017,0,NE,1.79,0,0
35087,2014,1,1,22,4,NA,NA,NA,111,-12,42,1018,-1,SE,0.89,0,0
35088,2014,1,1,23,4,NA,NA,NA,144,-12,39,1019,0,NW,1.79,0,0
35089,2014,1,2,0,4,90,166,147,170,-13,42,1019,-2,NE,0.89,0,0
35090,2014,1,2,1,4,127,198,169,174,-12,53,1019,-4,cv,0.89,0,0
35091,2014,1,2,2,4,175,188,160,174,-12,53,1019,-4,cv,1.34,0,0
35092,2014,1,2,3,4,158,178,149,172,-12,53,1019,-4,NW,0.89,0,0
35093,2014,1,2,4,4,126,167,138,149,-12,57,1020,-5,cv,0.89,0,0
35094,2014,1,2,5,4,121,138,140,166,-10,54,1020,-2,SE,1.79,0,0
35095,2014,1,2,6,4,168,151,173,187,-7,68,1020,-2,SE,3.58,0,0
35096,2014,1,2,7,4,119,99,112,107,-9,73,1020,-5,NE,0.89,0,0
35097,2014,1,2,8,4,74,81,81,114,-9,73,1021,-5,NW,3.13,0,0
35098,2014,1,2,9,4,74,104,82,108,-7,68,1021,-2,NW,4.92,0,0
35099,2014,1,2,10,4,104,80,82,102,-7,51,1021,2,NW,6.71,0,0
35100,2014,1,2,11,4,108,78,90,95,-8,41,1020,4,cv,0.89,0,0
35101,2014,1,2,12,4,101,92,99,127,-8,38,1019,5,cv,1.78,0,0
35102,2014,1,2,13,4,108,100,116,125,-9,30,1017,7,cv,2.67,0,0
35103,2014,1,2,14,4,124,107,119,128,-9,30,1016,7,cv,4.46,0,0
35104,2014,1,2,15,4,121,123,131,146,-10,28,1016,7,cv,5.35,0,0
35105,2014,1,2,16,4,129,137,147,165,-10,30,1016,6,cv,5.8,0,0
35106,2014,1,2,17,4,135,149,152,173,-9,38,1016,4,cv,6.69,0,0
35107,2014,1,2,18,4,164,162,163,195,-8,44,1016,3,cv,7.58,0,0
35108,2014,1,2,19,4,168,187,194,239,-9,47,1016,1,cv,8.47,0,0
35109,2014,1,2,20,4,178,194,204,232,-8,54,1017,0,cv,9.36,0,0
35110,2014,1,2,21,4,171,275,231,242,-8,54,1017,0,SE,0.89,0,0
35111,2014,1,2,22,4,179,267,227,269,-8,58,1017,-1,NE,1.79,0,0
35112,2014,1,2,23,4,184,270,238,264,-7,63,1018,-1,NW,4.02,0,0
